PLOT,yr,plot,lat,long,n_trees,agb
170,2015,170,41.468006,-73.942441,0,0
171,2015,171,42.18009899999998,-76.55450100000004,43,19114.289667
172,2018,172,40.88430799999999,-72.97885700000002,10,4053.7923900000005
173,2017,173,43.11042399999998,-78.40370299999996,45,32185.25608700001
175,2015,175,43.353009,-74.46828200000002,29,17601.885729
176,2017,176,42.225104000000044,-73.76964099999996,48,0
177,2013,177,42.988066,-74.437933,7,2045.6738830000002
179,2013,179,43.088933,-73.27758300000004,33,0
180,2016,180,44.16654699999995,-73.54422800000002,69,27012.302233999995
182,2018,182,42.322064,-75.455629,0,0
183,2019,183,42.94150199999999,-75.39085300000006,28,0
184,2018,184,42.923449,-77.068737,0,0
185,2017,185,44.09389900000001,-74.09876600000005,100,0
186,2015,186,42.46069600000005,-74.70792299999995,58,34027.407545999995
187,2013,187,44.685114,-75.339405,0,0
188,2018,188,41.992542,-74.052375,0,0
189,2016,189,42.310925,-74.09783699999996,37,20703.221386999998
190,2016,190,42.323335,-76.218239,0,0
191,2017,191,43.165705,-78.325135,0,0
192,2017,192,44.351533,-74.27186,2,0
194,2016,194,42.29658799999999,-77.62185699999999,6,3491.231658
196,2017,196,41.54150099999999,-74.545881,32,25486.675670999997
197,2018,197,44.933872,-74.057053,0,0
198,2017,198,43.022417,-75.75415599999998,6,0
199,2018,199,42.299839,-78.9874,8,6105.113501
200,2018,200,43.823115999999985,-73.7337889999999,102,21901.759951000007
202,2017,202,42.53060899999996,-74.42880199999993,54,0
203,2016,203,42.78448899999995,-75.10820599999992,45,20183.024372999997
204,2015,204,43.09839499999999,-75.03191500000001,44,12375.571262000001
205,2015,205,42.129973,-73.66077199999998,13,21242.57346
206,2017,206,40.708819,-73.336867,0,0
208,2016,208,43.422012,-74.050107,0,0
210,2014,210,42.670464,-74.966509,0,0
211,2019,211,42.17337599999998,-74.311553,38,31254.20415
212,2017,212,43.62391800000008,-74.65566900000002,73,17851.447804
213,2016,213,42.391317,-76.908409,0,0
215,2014,215,41.906733000000024,-75.13676000000001,37,29046.835025999993
216,2017,216,43.94371900000001,-74.92871099999996,61,6048.009811999999
217,2014,217,43.498620999999986,-74.95583600000003,26,16646.361651
218,2014,218,40.95768299999999,-73.759951,28,29572.256017
219,2013,219,42.40169,-78.881611,6,4607.002548
220,2013,220,44.679031,-73.466389,0,0
221,2014,221,44.921003,-73.412233,0,0
222,2018,222,44.39986900000003,-74.22442300000007,49,33168.033494
224,2018,224,42.176318,-77.25775799999998,17,7994.946865999999
225,2018,225,43.001985,-73.524867,0,0
226,2017,226,43.021577999999984,-78.10553400000002,16,20607.226581000003
229,2019,229,42.34636300000001,-74.87800799999997,27,20678.171193
230,2016,230,42.725737000000045,-73.46397500000003,63,33775.802519
231,2014,231,41.1019,-72.098684,0,0
232,2019,232,42.15083299999998,-78.236441,38,44648.659853
233,2017,233,43.45836200000001,-76.38063400000007,56,35411.129504
234,2017,234,44.53031499999998,-74.17767999999997,31,10980.564381
236,2015,236,42.679873,-76.061882,0,0
237,2014,237,41.80420299999999,-74.96774400000002,35,22326.579728
238,2019,238,43.992698999999945,-75.47313699999997,69,16491.398231
239,2013,239,42.460755000000006,-75.48848200000003,35,26957.440864999997
240,2019,240,44.473256000000006,-75.08771900000008,49,8558.336850000002
241,2019,241,43.59365200000001,-73.47114599999996,47,14716.624579999998
242,2014,242,41.488669999999985,-74.12282699999997,22,6845.317760999998
243,2016,243,40.791014,-73.128561,0,0
244,2015,244,42.529916,-78.253181,0,0
245,2017,245,41.96410500000001,-75.15074299999998,29,19130.910635
246,2017,246,42.412933,-77.050236,0,0
247,2017,247,42.885098,-77.107542,0,0
248,2017,248,43.252475,-74.11906899999997,44,0
249,2013,249,42.02192199999996,-74.17007300000009,46,24140.082162000006
250,2015,250,43.54919900000003,-74.12603599999994,82,15484.520951999999
251,2018,251,42.07590200000002,-77.76371900000002,28,11903.863949999999
253,2017,253,42.766754,-76.793454,0,0
256,2016,256,44.11834700000001,-75.22503800000003,32,0
257,2017,257,42.112039,-76.844144,5,4069.810042
258,2013,258,43.835419,-73.66377899999999,46,21479.640878000006
259,2014,259,40.792223,-73.003062,0,0
260,2017,260,42.209704,-76.303224,0,0
261,2015,261,43.22128999999998,-78.57525000000004,26,26493.934122000002
262,2013,262,41.589679999999994,-74.695473,11,6692.1225890000005
263,2015,263,42.185328,-74.774962,0,0
265,2014,265,42.759184999999995,-76.362034,26,18999.837056000004
266,2014,266,42.02074300000001,-76.97350600000003,25,752.780942
267,2014,267,44.224473,-75.947161,0,0
268,2017,268,43.780156000000005,-74.66903499999992,51,31966.018366
270,2019,270,43.066598,-74.08842200000002,22,11372.102794
272,2015,272,42.363566,-78.6884799999999,67,13497.752218000001
273,2018,273,41.670109,-74.46131800000006,30,0
274,2017,274,42.570463999999966,-78.69248400000002,41,22970.953152000002
282,2013,282,42.773091000000015,-73.84720300000001,17,5880.8261569999995
283,2018,283,43.16202399999998,-77.420478,39,0
284,2014,284,42.42576499999998,-76.17970800000006,29,29140.681682
285,2015,285,42.609267,-77.099283,0,0
287,2017,287,43.328332,-75.551651,0,0
288,2015,288,42.54755999999998,-75.72799799999994,54,20350.905238999996
289,2014,289,43.525223,-76.237941,0,0
290,2015,290,40.86729,-73.853908,0,0
292,2014,292,42.781952,-74.53276099999998,12,24.542268999999997
294,2016,294,41.465237,-74.26397,0,0
295,2013,295,42.600589,-75.592741,0,0
296,2013,296,42.405226999999996,-74.10846,0,0
297,2013,297,42.465856000000024,-75.67628599999996,28,25277.673813999998
298,2017,298,43.004431,-77.895977,0,0
299,2017,299,42.111472,-76.160117,0,0
301,2017,301,43.53192800000006,-73.41012099999993,47,17052.205804999998
302,2015,302,44.563129000000004,-73.457981,1,63.023791
303,2013,303,42.86127100000001,-73.968261,51,25464.590751
305,2019,305,41.982430999999956,-74.56079300000007,56,14200.460263000004
306,2015,306,42.61515000000002,-77.315701,40,23499.605201000002
308,2015,308,42.699659,-74.891913,0,0
312,2016,312,43.61758599999999,-75.43347799999995,62,0
313,2016,313,41.31356,-74.199633,0,0
315,2019,315,42.628411,-76.50449,0,0
316,2017,316,43.596815,-76.116335,0,0
317,2017,317,44.86281699999998,-73.90688500000005,27,1792.127852
318,2014,318,44.18173900000004,-75.44688700000005,41,7560.259828
320,2015,320,43.108920000000005,-75.35429699999999,10,3857.532422
322,2014,322,42.629548,-75.175709,0,0
324,2016,324,43.790308999999986,-76.20465299999996,31,18904.800593
325,2019,325,42.620844,-77.047781,0,0
326,2019,326,43.926171999999966,-73.46151100000012,79,12226.431007000001
327,2016,327,42.133970000000026,-75.247968,41,28257.227295
328,2019,328,41.116843,-74.159322,0,0
329,2019,329,42.04126900000004,-74.73660299999996,48,40618.240185999995
331,2018,331,43.199315,-74.709128,0,0
332,2019,332,43.17186100000002,-75.97979699999998,43,14903.167115
334,2015,334,42.00497700000004,-74.11965599999995,47,44309.404205
335,2015,335,42.91121999999998,-76.71485600000004,35,25773.976805000006
337,2014,337,41.160157999999996,-73.65575399999994,29,28569.001064
338,2015,338,44.064697,-73.98494699999995,50,12158.348146999999
339,2015,339,42.586158,-76.774242,0,0
340,2016,340,41.574881,-74.57729199999996,46,24546.507235000005
341,2016,341,44.299158999999975,-75.65427799999999,45,12717.032652000004
342,2015,342,42.561337999999985,-78.08143199999996,27,9847.09319
343,2014,343,44.958213,-74.54006700000001,14,6199.936537
344,2015,344,42.382186000000026,-75.34705200000003,38,20808.50277
345,2016,345,43.568569999999966,-76.16155500000002,42,32890.326163
346,2013,346,42.741026,-73.49946900000003,26,26076.040212000004
347,2016,347,42.45874899999996,-73.99915400000006,42,18421.863421000002
348,2019,348,42.849786,-74.025802,14,12594.044888999999
349,2013,349,42.50814100000001,-76.679741,15,4457.839925
350,2013,350,42.17228599999999,-74.82471299999999,40,25159.037709999997
351,2018,351,42.67606500000001,-78.67144000000003,26,6922.932396
352,2013,352,44.61934000000007,-73.8515699999999,79,12051.303228000004
353,2019,353,42.97617,-75.722794,0,0
354,2015,354,44.43899800000002,-73.572909,41,11622.249381
355,2015,355,42.128664,-74.569223,0,0
356,2014,356,43.68050799999999,-75.04949100000005,35,14174.417990999998
358,2017,358,43.161384,-73.671157,11,0
359,2017,359,42.37851300000004,-74.36207800000007,37,0
360,2016,360,41.70290300000005,-74.54848899999992,48,0
361,2019,361,43.69744500000001,-75.27322400000001,37,23017.588302999997
362,2015,362,44.647868,-73.611701,0,0
364,2019,364,42.632763999999966,-73.93408300000007,44,41882.779816
365,2014,365,44.14337,-73.96742599999999,30,0
366,2019,366,42.311251000000034,-77.21293000000006,55,24759.079209000003
367,2015,367,43.916761,-75.936341,0,0
369,2014,369,43.451833,-73.380962,2,2124.475749
370,2018,370,43.053136,-73.871103,0,0
372,2017,372,42.386849999999995,-75.613433,18,16254.736704
373,2019,373,42.10735900000002,-75.38013,37,14518.848961000002
376,2015,376,43.85828599999997,-75.24967100000002,39,13827.282383999998
377,2016,377,42.311095000000016,-78.69290700000006,30,4517.9886559999995
379,2017,379,43.75599499999999,-74.18134600000002,71,20495.459663999998
381,2016,381,43.260839,-76.390163,0,0
385,2013,385,42.21997399999999,-79.688580999999985,14,5532.262624
386,2014,386,43.703505999999955,-75.54028099999994,73,22145.518860000007
387,2015,387,42.49709400000001,-74.51632100000005,41,16023.768822
388,2018,388,43.278025999999976,-75.742762,37,11756.234628
389,2014,389,43.656968,-74.02659799999996,32,31683.110404999996
390,2019,390,43.736029000000016,-75.59356800000013,64,14455.806729000004
391,2015,391,42.957404,-76.387286,11,3899.72171
392,2017,392,42.748241999999955,-73.37758600000004,40,31366.790730999997
395,2015,395,44.07246699999998,-74.42338900000003,48,15080.507
396,2019,396,42.12772799999999,-74.85642400000005,36,0
397,2014,397,42.09256200000002,-74.04949699999999,38,28573.793497
398,2014,398,42.25224200000002,-75.61777299999996,25,23420.065448999998
399,2015,399,42.05462200000003,-79.35024999999997,36,26072.246393999994
400,2013,400,44.36525100000002,-74.405033,67,17843.130762
401,2015,401,43.11621999999993,-73.96715200000007,61,31100.565984000004
402,2013,402,43.097635,-77.08689,0,0
404,2019,404,43.845539,-73.850658,0,0
406,2019,406,43.093707,-75.645575,0,0
407,2018,407,43.735028999999955,-74.52287499999996,78,0
408,2018,408,44.668421999999985,-74.04039600000002,35,4109.358998
409,2015,409,42.98786900000003,-78.35933699999998,42,10052.016891000001
411,2017,411,41.387398000000026,-74.66280300000004,45,0
412,2017,412,43.36857499999998,-76.24196399999995,43,4617.569432
413,2018,413,43.291381,-76.11602,0,0
414,2013,414,43.227068,-76.803813,0,0
415,2013,415,42.820269999999994,-75.61874100000006,37,15319.751166000002
417,2014,417,42.462356999999955,-73.46711000000003,40,0
418,2015,418,42.279329999999995,-76.11246299999998,26,9421.386949000002
419,2016,419,43.053305000000016,-75.77621,17,8926.685859
420,2018,420,42.450669999999974,-78.207267,25,7563.942107
421,2014,421,42.655056999999985,-73.89614000000003,16,6892.088200999999
422,2013,422,43.241602,-78.049889,7,2036.4960889999998
423,2013,423,41.47127799999999,-74.88312399999997,31,22153.778164
424,2014,424,43.517645,-73.473515,0,0
425,2017,425,41.194001000000014,-74.27157400000002,37,23463.739332999998
427,2013,427,40.801636,-72.65807,0,0
429,2019,429,42.959830000000004,-77.511049,6,9005.426719
